strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value
PFLO:NDC,0,bulgaria,7,pop_unimproved_rural,299091.209054372,299091.209054372,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,bulgaria,8,pop_unimproved_rural,294340.07849347586,294340.07849347586,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,bulgaria,9,pop_unimproved_rural,289474.71138817567,289474.71138817567,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0,bulgaria,10,pop_unimproved_rural,284494.6292986252,284494.6292986252,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0,bulgaria,11,pop_unimproved_rural,279403.9680850541,279403.9680850541,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0,bulgaria,12,pop_unimproved_rural,274197.3821081051,274197.3821081051,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0,bulgaria,13,pop_unimproved_rural,268873.6138056334,257183.45668364983,-11690.15712198356,cb:wali:technical_cost:sanitation:unimp_rural,75986.02129289314
PFLO:NDC,0,bulgaria,14,pop_unimproved_rural,263432.16374222044,240525.01906898362,-22907.14467323682,cb:wali:technical_cost:sanitation:unimp_rural,148896.44037603933
PFLO:NDC,0,bulgaria,15,pop_unimproved_rural,257873.3363345572,224237.68376918044,-33635.652565376775,cb:wali:technical_cost:sanitation:unimp_rural,218631.74167494904
PFLO:NDC,0,bulgaria,16,pop_unimproved_rural,252198.1693581482,208337.6181654264,-43860.55119272182,cb:wali:technical_cost:sanitation:unimp_rural,285093.5827526918
PFLO:NDC,0,bulgaria,17,pop_unimproved_rural,246408.50817484534,192841.44118031382,-53567.06699453152,cb:wali:technical_cost:sanitation:unimp_rural,348185.9354644549
PFLO:NDC,0,bulgaria,18,pop_unimproved_rural,240507.00775237803,177766.049208279,-62740.958544099034,cb:wali:technical_cost:sanitation:unimp_rural,407816.2305366437
PFLO:NDC,0,bulgaria,19,pop_unimproved_rural,234496.89066280678,163128.2717654308,-71368.61889737597,cb:wali:technical_cost:sanitation:unimp_rural,463896.0228329438
PFLO:NDC,0,bulgaria,20,pop_unimproved_rural,228381.51040518517,148944.4633077299,-79437.04709745527,cb:wali:technical_cost:sanitation:unimp_rural,516340.80613345926
PFLO:NDC,0,bulgaria,21,pop_unimproved_rural,222164.57881309596,135230.61319058,-86933.96562251594,cb:wali:technical_cost:sanitation:unimp_rural,565070.7765463536
PFLO:NDC,0,bulgaria,22,pop_unimproved_rural,215849.9307975891,122002.13479863758,-93847.79599895152,cb:wali:technical_cost:sanitation:unimp_rural,610010.6739931849
PFLO:NDC,0,bulgaria,23,pop_unimproved_rural,209441.20358367465,109273.6714349604,-100167.53214871425,cb:wali:technical_cost:sanitation:unimp_rural,651088.9589666426
PFLO:NDC,0,bulgaria,24,pop_unimproved_rural,202942.15072933878,97059.28947924919,-105882.8612500896,cb:wali:technical_cost:sanitation:unimp_rural,688238.5981255823
PFLO:NDC,0,bulgaria,25,pop_unimproved_rural,196356.40797351697,85372.3512928334,-110984.05668068357,cb:wali:technical_cost:sanitation:unimp_rural,721396.3684244432
PFLO:NDC,0,bulgaria,26,pop_unimproved_rural,189687.58579187415,74225.5770489941,-115462.00874288005,cb:wali:technical_cost:sanitation:unimp_rural,750503.0568287203
PFLO:NDC,0,bulgaria,27,pop_unimproved_rural,182939.30243338912,63631.06171596132,-119308.2407174278,cb:wali:technical_cost:sanitation:unimp_rural,775503.5646632807
PFLO:NDC,0,bulgaria,28,pop_unimproved_rural,176114.93818456505,53600.198577911004,-122514.73960665404,cb:wali:technical_cost:sanitation:unimp_rural,796345.8074432513
PFLO:NDC,0,bulgaria,29,pop_unimproved_rural,169218.00418268808,44143.82717809246,-125074.17700459561,cb:wali:technical_cost:sanitation:unimp_rural,812982.1505298715
PFLO:NDC,0,bulgaria,30,pop_unimproved_rural,162251.7815664048,35272.12642747925,-126979.65513892555,cb:wali:technical_cost:sanitation:unimp_rural,825367.758403016
PFLO:NDC,0,bulgaria,31,pop_unimproved_rural,155219.26477625646,26994.65474369673,-128224.61003255972,cb:wali:technical_cost:sanitation:unimp_rural,833459.9652116382
PFLO:NDC,0,bulgaria,32,pop_unimproved_rural,148122.2734535687,19320.2965374219,-128801.97691614678,cb:wali:technical_cost:sanitation:unimp_rural,837212.8499549541
PFLO:NDC,0,bulgaria,33,pop_unimproved_rural,140962.86394469545,12257.640343016912,-128705.22360167853,cb:wali:technical_cost:sanitation:unimp_rural,836583.9534109104
PFLO:NDC,0,bulgaria,34,pop_unimproved_rural,133742.765507137,5814.90284813637,-127927.86265900063,cb:wali:technical_cost:sanitation:unimp_rural,831531.1072835041
