year,population_gnrl_rural,population_gnrl_rural_rebuilt,population_gnrl_urban,population_gnrl_urban_rebuilt,population,new_pop_check
2015,1866995.4591,1866995.4591,5310995.5409,5310995.5409,7177991.0,7177991.0
2016,1829783.18562,1829783.18562,5298038.81438,5298038.81438,7127822.0,7127822.0
2017,1792408.13457,1792408.13457,5283538.86543,5283538.86543,7075947.0,7075947.0
2018,1755697.24704,1755697.24704,5269339.75296,5269339.75296,7025037.0,7025037.0
2019,1719734.35933,1719734.35933,5256026.64067,5256026.64067,6975761.0,6975761.0
2020,1685936.4071,1685936.4071,5248078.5929,5248078.5929,6934015.0,6934015.0
2021,1687028.35436392,1687028.35436392,5347596.21403608,5347596.21403608,7034624.5684,7034624.5684
2022,1655474.27628706,1655474.27628706,5345491.43351294,5345491.43351294,7000965.7098,7000965.7098
2023,1623920.19821019,1623920.19821019,5343386.65298981,5343386.65298981,6967306.8512,6967306.8512
2024,1592366.12013333,1612584.5244861278,5341281.87246667,5306087.475513873,6918672.0,6918672.0
2025,1560812.04205647,1598990.7644088175,5339177.09194353,5261358.2355911825,6860349.0,6860349.0
2026,1531314.66971771,1585493.0321276058,5339395.9764823,5216944.967872394,6802438.0,6802438.0
2027,1501817.29737894,1571951.4813374947,5339614.86102106,5172387.518662506,6744339.0,6744339.0
2028,1472319.92504018,1558296.4219631602,5339833.74555982,5127456.57803684,6685753.0,6685753.0
2029,1442822.55270141,1545113.3438681934,5340052.63009859,5084078.656131807,6629192.0,6629192.0
2030,1413325.18036265,1532285.0092335711,5340271.51463735,5041867.990766429,6574153.0,6574153.0
2031,1385460.16514064,1519849.4096388177,5342189.18165936,5000949.590361183,6520799.0,6520799.0
2032,1357595.14991863,1507797.921228458,5344106.84868137,4961295.078771542,6469093.0,6469093.0
2033,1329730.13469661,1496208.857933291,5346024.51570339,4923162.142066709,6419371.0,6419371.0
2034,1301865.1194746,1485309.4699989383,5347942.182725401,4887298.530001062,6372608.0,6372608.0
2035,1274000.10425259,1476238.3394252565,5349859.84974741,4857450.6605747435,6333689.0,6333689.0
2036,1247558.42003935,1467405.180647246,5353458.48636065,4828385.819352754,6295791.0,6295791.0
2037,1221116.73582611,1458758.9497635826,5357057.12297389,4799936.050236418,6258695.0,6258695.0
2038,1194675.05161288,1450317.5937167408,5360655.75958712,4772160.406283259,6222478.0,6222478.0
2039,1168233.36739964,1442294.8442761926,5364254.39620036,4745762.155723807,6188057.0,6188057.0
2040,1141791.6831863998,1434632.1990710136,5367853.032813599,4720548.800928987,6155181.0,6155181.0
2041,1116462.62890315,1427131.542502457,5372477.90869685,4695868.457497543,6123000.0,6123000.0
2042,1091133.5746199,1419842.5200087973,5377102.784580099,4671884.479991203,6091727.0,6091727.0
2043,1065804.52033666,1412703.36613866,5381727.66046335,4648393.633861341,6061097.0,6061097.000000001
2044,1040475.46605341,1405666.3000711713,5386352.53634659,4625238.6999288285,6030905.0,6030905.0
2045,1015146.41177016,1398784.2303250548,5390977.41222984,4602593.769674946,6001378.0,6001378.0
2046,990684.831059786,1391923.1375246884,5395909.28674021,4580017.862475312,5971941.0,5971941.000000001
2047,966223.250349412,1385150.6140508202,5400841.16125059,4557733.3859491795,5942884.0,5942884.0
2048,941761.669639038,1378444.7506490012,5405773.03576096,4535668.249350999,5914113.0,5914113.0
2049,917300.088928664,1371826.9904193308,5410704.91027134,4513893.009580669,5885720.0,5885720.0
2050,892838.5082182891,1365277.2887247591,5415636.78478171,4492341.711275241,5857619.0,5857619.0
