Subsector,Gas,Edgar_Sector,Edgar_Subsector,Edgar_Subsector_Synthetic,Vars,id,BGR,Edgar_Class
agrc,CH4,Agriculture,AG - Crops,AG - Crops,emission_co2e_ch4_agrc_anaerobicdom_rice:emission_co2e_ch4_agrc_biomass_burning,AG - Crops - CH4,0.12515,AG - Crops:CH4
agrc,CO2,Agriculture,AG - Crops,AG - Crops,emission_co2e_co2_soil_soc_mineral_soils:emission_co2e_co2_lndu_drained_organic_soils_pastures:emission_co2e_co2_soil_urea_use:emission_co2e_co2_soil_lime_use:emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial:emission_co2e_co2_lndu_drained_organic_soils_croplands,AG - Crops - CO2,0.09423,AG - Crops:CO2
agrc,N2O,Agriculture,AG - Crops,AG - Crops,emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils:emission_co2e_n2o_soil_paddock_pasture_range:emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues,AG - Crops - N2O,3.40272,AG - Crops:N2O
lvst,CH4,Agriculture,AG - Livestock,AG - Livestock,emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_sheep:emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid,AG - Livestock - CH4,1.976805,AG - Livestock:CH4
lsmm,N2O,Agriculture,AG - Livestock,AG - Livestock,emission_co2e_n2o_lsmm_direct_anaerobic_digester:emission_co2e_n2o_lsmm_direct_anaerobic_lagoon:emission_co2e_n2o_lsmm_direct_composting:emission_co2e_n2o_lsmm_direct_daily_spread:emission_co2e_n2o_lsmm_direct_deep_bedding:emission_co2e_n2o_lsmm_direct_dry_lot:emission_co2e_n2o_lsmm_direct_incineration:emission_co2e_n2o_lsmm_direct_liquid_slurry:emission_co2e_n2o_lsmm_direct_paddock_pasture_range:emission_co2e_n2o_lsmm_direct_poultry_manure:emission_co2e_n2o_lsmm_direct_storage_solid:emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid,AG - Livestock - N2O,0.306905,AG - Livestock:N2O
ccsq,CH4,CCSQ,CCSQ,CCSQ,emission_co2e_ch4_ccsq_direct_air_capture,CCSQ - CH4,0,CCSQ:CH4
ccsq,CO2,CCSQ,CCSQ,CCSQ,emission_co2e_co2_ccsq_direct_air_capture,CCSQ - CO2,0,CCSQ:CO2
ccsq,N2O,CCSQ,CCSQ,CCSQ,emission_co2e_n2o_ccsq_direct_air_capture,CCSQ - N2O,0,CCSQ:N2O
scoe,CH4,Energy,EN - Building,EN - Building,emission_co2e_ch4_scoe_commercial_municipal:emission_co2e_ch4_scoe_residential,EN - Building - CH4,0.415001286,EN - Building:CH4
scoe,CO2,Energy,EN - Building,EN - Building,emission_co2e_co2_scoe_nbmass_commercial_municipal:emission_co2e_co2_scoe_nbmass_residential,EN - Building - CO2,1.695735954,EN - Building:CO2
scoe,N2O,Energy,EN - Building,EN - Building,emission_co2e_n2o_scoe_commercial_municipal:emission_co2e_n2o_scoe_residential,EN - Building - N2O,0.087103271,EN - Building:N2O
