subsector_id,inventory_emission,ssp_emission,inventory_share,error,squared_error
lndu - LULUCF - Other Land:CO2,-0.318529117,-0.207786678,-0.005445399,-0.347668194,0.120873173
frst - LULUCF - Forest Land Sequestration:CO2,-9.761994234,-9.482428144,-0.166885705,-0.028638215,0.000820147
ccsq - CCSQ:N2O,0,0,0,0,0
ccsq - CCSQ:CO2,0,0,0,0,0
ccsq - CCSQ:CH4,0,0,0,0,0
scoe - EN - Other:N2O,0,0,0,0,0
scoe - EN - Other:CO2,0,0,0,0,0
ippu - UNACCOUNTED:NF3,0,0,0,0,0
scoe - EN - Other:CH4,0,0,0,0,0
waso - Waste - Solid Waste:N2O,0.009934963,0.010320984,0.000169843,0.038854757,0.001509692
lsmm - AG - Livestock:N2O,0.120671763,0.128449759,0.002062938,0.064455804,0.004154551
lvst - AG - Livestock:CH4,1.068537892,1.375970427,0.018267138,0.287713271,0.082778926
trww - Waste - Wastewater Treatment:CH4,1.130879539,0.794170068,0.019332897,0.297741233,0.088649842
entc - EN - Electricity/Heat:CH4,0.023683908,0.031862971,0.000404887,0.3453425,0.119261443
agrc - AG - Crops:CH4,0.101736109,0.139853376,0.001739225,0.374667983,0.140376097
lsmm - AG - Livestock:CH4,1.068537892,0.661047181,0.018267138,0.38135354,0.145430522
entc - EN - Electricity/Heat:CO2,25.09105165,14.33673782,0.428942871,0.428611522,0.183707836
fgtv - EN - Fugitive Emissions:CO2,2.463175335,3.905635818,0.042109096,0.58561015,0.342939247
entc - EN - Electricity/Heat:N2O,0.106404361,0.038006686,0.001819031,0.642808882,0.413203259
agrc - AG - Crops:N2O,3.236068044,1.035653162,0.055322046,0.679965577,0.462353186
ippu - IN - Industrial Processes:CO2,4.528596383,1.279894731,0.077418402,0.717374959,0.514626832
agrc - AG - Crops:CO2,1.071093167,0.285394425,0.018310822,0.733548452,0.538093331
ippu - IN - Industrial Processes:PFC,0.260753369,0.031930876,0.004457697,0.877543732,0.770083002
scoe - EN - Building:N2O,0.087103271,0.00361759,0.00148907,0.95846769,0.918660313
waso - Waste - Solid Waste:CH4,5.148575925,0.066318013,0.088017233,0.987119152,0.974404221
scoe - EN - Building:CH4,0.415001286,0.003139964,0.007094635,0.992433821,0.984924889
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
ippu - IN - Industrial Processes:HFC,0.001385938,0,2.37E-05,0.999992785,0.999985569
scoe - EN - Building:CO2,1.695735954,4.967160516,0.028989373,1.929206334,3.721837078
trww - Waste - Wastewater Treatment:N2O,0.097626182,0.328710455,0.001668964,2.367031516,5.602838198
fgtv - EN - Fugitive Emissions:CH4,1.125721545,3.938836027,0.019244719,2.498943428,6.244718257
ippu - IN - Industrial Processes:N2O,4.029937408,14.99807277,0.068893602,2.721663943,7.407454621
inen - EN - Manufacturing/Construction:CO2,4.932055857,19.32245664,0.084315724,2.917728665,8.513140561
ippu - IN - Industrial Processes:HFC,0.001385938,0.006314251,2.37E-05,3.555914927,12.64453097
ippu - IN - Industrial Processes:CH4,0.008740533,0.047376956,0.000149423,4.420368715,19.53965958
trns - EN - Transportation:CH4,0.050659814,0.276794576,0.000866052,4.463788941,19.92541171
trns - EN - Transportation:CO2,10.31481115,56.55101886,0.17633636,4.482506465,20.09286421
fgtv - EN - Fugitive Emissions:N2O,0.000855997,0.005951468,1.46E-05,5.952604824,35.4335042
ippu - IN - Industrial Processes:SF6,0.019636092,0.15868583,0.000335688,7.081330994,50.14524865
